title,image_url,release_date,key_features,platform,developer,publisher,score,source_url,scraped_at
Minishoot' Adventures,https://assets-prd.ignimgs.com/2024/03/05/minishoot-adventures-button-1709655854216.jpg,Not Available,"Fly into a charming handcrafted world and go on an adventure that mixes up open exploration with crispy twin-stick shooter action. Fight your way from the shiny overworld to the deepest caves, improve your ship and overcome the dungeons' bosses to rescue your friends!","GenresAction, Adventure, RPG, Twin-Stick",SoulGame Studio,SoulGame Studio,9,https://www.ign.com/games/minishoot-adventures,2026-03-11T05:15:23.656389Z
WWE 2K26,https://assets-prd.ignimgs.com/2026/02/01/wwe-2k26-button-1769963965221.jpg,Not Available,"The show never stops in WWE 2K26! Step into CM Punk’s 2K Showcase, dominate with 400+ Superstars and Legends, and unleash chaos with all-new match types.","GenresSports, Wrestling, Simulation",Visual Concepts,2K Games,7,https://www.ign.com/games/wwe-2k26,2026-03-11T05:15:28.117532Z
Fatal Frame II: Crimson Butterfly Remake,https://assets-prd.ignimgs.com/2025/09/12/nintendoswitch2-fatal-frame-ii-crimson-butterfly-remake-keyart-square-1757695418562.jpg,Not Available,"Twin sisters Mio and Mayu Amakura find themselves lost in a village that has vanished from the map in this revival of the Japanese horror adventure. Featuring chilling effects and atmosphere, players will control Mio, the younger twin sister, who can feel the presence of spirits. Pacify ghosts with the Camera Obscura and explore abandoned buildings shrouded in darkness, with remade exploration and","GenresHorror, Survival, Remake",Team Ninja,Koei Tecmo,8,https://www.ign.com/games/fatal-frame-ii-crimson-butterfly-remake,2026-03-11T05:15:31.958850Z
Monster Hunter Stories 3: Twisted Reflection,https://assets-prd.ignimgs.com/2026/02/17/nintendoswitch2-monster-hunter-stories-3-twisted-reflection-keyart-square-1771359099434.jpg,Not Available,"Monster Hunter Stories 3: Twisted Reflection tells the story of two nations on the path to ruin. Amidst the growing crystal encroachment facing the lands of Azuria and Vermeil, the discovery of a mysterious egg gives cause for hope. From the shell hatches a monster long thought to be extinct, a Rathalos. However, this glimmer quickly gives way to despair as a second monster emerges from the egg. T",GenresRPG,Capcom,Capcom,9,https://www.ign.com/games/monster-hunter-stories-3-twisted-reflection,2026-03-11T05:15:35.629144Z
Scott Pilgrim EX,https://assets-prd.ignimgs.com/2025/06/06/scottex-1749248822190.jpg,Not Available,"Toronto, 20XX. When Scott Pilgrim’s bandmates are abducted by shadowy forces, a brand-new brawling adventure begins! Scott Pilgrim EX takes players on a wild ride through the sprawling streets of Toronto, battling 3 new enemy factions across space and time! Engage in creative combat, upgrade your characters, and discover hidden secrets.",GenresAction,Tribute Games,Universal City Studios,8,https://www.ign.com/games/scott-pilgrim-ex,2026-03-11T05:15:39.471584Z
Pokemon Pokopia,https://assets-prd.ignimgs.com/2025/09/12/pokemonpokopia-1757687429580.jpg,Not Available,"Play as a Ditto – who has transformed to look like a human – to shape an empty land into a beautiful space for a variety of Pokémon. Learn new moves from Pokémon you meet to expand and create a paradise. Collect berries, rocks and wood, build furniture, grow vegetables in fields you’ve tilled, create homes for Pokémon you meet, and more!","GenresSimulation, Crafting",Nintendo,Nintendo,9,https://www.ign.com/games/pokemon-pokopia,2026-03-11T05:15:43.235557Z
Under Night In-Birth 2 [Sys:Celes],https://assets-prd.ignimgs.com/2024/01/04/undernight-1704407425684.jpg,Not Available,Under Night In-Birth 2 [Sys:Celes] sets out to implement a narrative about surviving the Hollow Night and dueling powerful foes.,GenresFighting,"ARC System Works, French-Bread",ARC System Works,9,https://www.ign.com/games/under-night-in-birth-2-sysceles,2026-03-11T05:15:46.645323Z
Resident Evil Requiem,https://assets-prd.ignimgs.com/2026/01/13/residentevil-1768340841615.jpg,Not Available,"Grace Ashcroft, a technical analyst for the FBI, is ordered to inspect the Wrenwood Hotel as part of an investigation into deaths caused by an unidentified disease. What she finds there will lead her to where it all began: Raccoon City.","GenresHorror, Survival",Capcom,Capcom,Not Available,https://www.ign.com/games/resident-evil-requiem,2026-03-11T05:15:50.148119Z
Styx: Blades of Greed,https://assets-prd.ignimgs.com/2025/03/12/styx-blades-of-greed-button-1741800469762.jpg,Not Available,"The master of stealth is back! Explore the dizzying heights of the Iserian Continent and cunningly eliminate your enemies. Thanks to your Quartz powers, you are freer than ever. Be creative: Never has it felt so good to be greedy.","GenresAction, Adventure, Stealth",Cyanide Studio,Nacon,6,https://www.ign.com/games/styx-blades-of-greed,2026-03-11T05:15:53.642649Z
God of War Sons of Sparta,https://assets-prd.ignimgs.com/2026/02/13/7260437aae9056d5bd34225e4fce98ca8bb0ef1cd8e6471f-1770943623265.jpg,Not Available,God of War Sons of Sparta is a 2D action platformer with a canon story set in Kratos’ youth during his harsh training at the Agoge alongside his brother Deimos.,"GenresAction, Platformer",Mega Cat Studios,Sony Interactive Entertainment,6,https://www.ign.com/games/god-of-war-sons-of-sparta,2026-03-11T05:15:57.340126Z
