title,url,difficulty,key_concepts,code_snippet,time_complexity,space_complexity,related_links,scraped_at
Python Lists,https://www.geeksforgeeks.org/python-lists/,Medium,"In Python, a list is a built-in data structure that can hold an ordered collection of items. Unlike arrays in some languages, Python lists are very flexible:","a = [1, 2, 3, 4, 5] # List of integers b = ['apple', 'banana', 'cherry'] # List of strings c = [1, 'hello', 3.14, True] # Mixed data types print(a) print(b) print(c)",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:10.801830Z
Python Tuples,https://www.geeksforgeeks.org/python-tuples/,Medium,A tuple in Python is an immutable ordered collection of elements.,"tup = () print(tup) # Using String tup = ('Geeks', 'For') print(tup) # Using List li = [1, 2, 4, 5, 6] print(tuple(li)) # Using Built-in Function tup = tuple('Geeks') print(tup)",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:14.225815Z
Python Sets,https://www.geeksforgeeks.org/python-sets/,Easy,"Python set is an unordered collection of multiple items having different datatypes. In Python, sets are mutable, unindexed and do not contain duplicates. The order of elements in a set is not preserved and can change.","s = {1, 2, 3, 4} print(s)",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:17.884370Z
Python Dictionaries (with Examples),https://www.geeksforgeeks.org/python-dictionary/,Medium,"A Python dictionary is a data structure that stores information in key-value pairs. While keys must be unique and immutable (like strings or numbers), the values can be of any data type, whether mutable or immutable. This makes dictionaries ideal for accessing data by a specific name rather than a numeric position like in list.","data = { ""name"": ""Jake"", ""age"": 22 } print(data)",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:21.725159Z
Python Functions,https://www.geeksforgeeks.org/python-functions/,Medium,"Python Functions are a block of statements that does a specific task. The idea is to put some commonly or repeatedly done task together and make a function so that instead of writing the same code again and again for different inputs, we can do the function calls to reuse code contained in it over and over again.","def fun(): print(""Welcome to GFG"")",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:25.532334Z
Python Loops,https://www.geeksforgeeks.org/python-loops/,Medium,The best command to repeat a control statement a fixed number of times?,Not Available,Not Available,Not Available,Python (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Python (https://www.geeksforgeeks.org/videos/category/python/),2026-03-16T07:16:31.903942Z
Python String Methods,https://www.geeksforgeeks.org/python-string-methods/,Medium,Python string methods is a collection of in-built Python functions that operates on strings.,"# Python3 program to show the # working of upper() function text = 'geeKs For geEkS' # upper() function to convert # string to upper case print(""\nConverted String:"") print(text.upper()) # lower() function to convert # string to lower case print(""\nConverted String:"") print(text.lower()) # converts the first character to # upper case and rest to lower case print(""\nConverted String:"") print(text.title()) # swaps the case of all characters in the string # upper case character to lowercase and viceversa print(""\nConverted String:"") print(text.swapcase()) # convert the first character of a string to uppercase print(""\nConverted String:"") print(text.capitalize()) # original string never changes print(""\nOriginal String"") print(text)",O(n) where n is the length of the string,O(1) List of String Methods in Python Here is the list of in,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:35.350134Z
Python Exception Handling,https://www.geeksforgeeks.org/python-exception-handling/,Easy,"Python Exception Handling allows a program to gracefully handle unexpected events (like invalid input or missing files) without crashing. Instead of terminating abruptly, Python lets you detect the problem, respond to it, and continue execution when possible.","n = 10 try: res = n / 0 except ZeroDivisionError: print(""Can't be divided by zero!"")",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:42.130291Z
Python Lambda Functions,https://www.geeksforgeeks.org/python-lambda/,Easy,"Lambda functions are small anonymous functions, meaning they do not have a defined name. These are small, short-lived functions used to pass simple logic to another function.",a = 'GeeksforGeeks' upper = lambda x: x.upper() print(upper(a)),Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:45.386535Z
Python – Generators,https://www.geeksforgeeks.org/python-generators/,Medium,Not Available,Not Available,Not Available,Not Available,Python (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Python (https://www.geeksforgeeks.org/videos/category/python/),2026-03-16T07:16:48.458757Z
Python Modules,https://www.geeksforgeeks.org/python-modules/,Medium,"A Module in python is a file containing definitions and statements. A module can define functions, classes and variables. Modules help organize code into separate files so that programs become easier to maintain and reuse. Instead of writing everything in one place, related functionality can be grouped into its own module and imported whenever needed.","# calc.py def add(x, y): return (x+y) def subtract(x, y): return (x-y)",Not Available,Not Available,Python Tutorial (https://www.geeksforgeeks.org/python/python-programming-language-tutorial/); Data Types (https://www.geeksforgeeks.org/python/python-data-types/); Interview Questions (https://www.geeksforgeeks.org/python/python-interview-questions/); Examples (https://www.geeksforgeeks.org/python/python-programming-examples/); Quizzes (https://www.geeksforgeeks.org/python/python-quizzes/),2026-03-16T07:16:58.011530Z
